Index,Vertices,Partial Domination Fraction,Smallest Set Size,Occurrences,Example Set,Max Minimal Set Size,Gamma - Gamma,Edges,Max Degree,Number of Leaves,Is Unique,Excel Row
111,9,2/3,2,9,"(0, 2)",3,1,"[(0, 1), (0, 5), (1, 2), (2, 3), (2, 4), (5, 6), (5, 8), (6, 7)]",3,4,False,113
112,9,1/3,1,5,"(0,)",2,1,"[(0, 1), (0, 5), (0, 8), (1, 2), (2, 3), (2, 4), (5, 6), (6, 7)]",3,4,False,114
113,9,2/3,2,10,"(0, 2)",4,2,"[(0, 1), (0, 5), (0, 8), (1, 2), (2, 3), (2, 4), (5, 6), (6, 7)]",3,4,False,115
114,9,1/3,1,4,"(0,)",2,1,"[(0, 1), (0, 5), (1, 2), (2, 3), (2, 4), (5, 6), (5, 7), (5, 8)]",4,5,False,116
115,9,2/3,2,9,"(0, 2)",4,2,"[(0, 1), (0, 5), (1, 2), (2, 3), (2, 4), (5, 6), (5, 7), (5, 8)]",4,5,False,117
116,9,1/3,1,4,"(0,)",2,1,"[(0, 1), (0, 5), (0, 8), (1, 2), (2, 3), (2, 4), (5, 6), (5, 7)]",3,5,False,118
117,9,2/3,2,11,"(0, 2)",4,2,"[(0, 1), (0, 5), (0, 8), (1, 2), (2, 3), (2, 4), (5, 6), (5, 7)]",3,5,False,119
118,9,1/3,1,5,"(0,)",2,1,"[(0, 1), (0, 5), (0, 7), (1, 2), (2, 3), (2, 4), (5, 6), (7, 8)]",3,4,False,120
119,9,2/3,2,7,"(0, 2)",3,1,"[(0, 1), (0, 5), (0, 7), (1, 2), (2, 3), (2, 4), (5, 6), (7, 8)]",3,4,False,121
120,9,1/3,1,4,"(0,)",2,1,"[(0, 1), (0, 5), (0, 7), (0, 8), (1, 2), (2, 3), (2, 4), (5, 6)]",4,5,False,122
121,9,2/3,2,10,"(0, 1)",4,2,"[(0, 1), (0, 5), (0, 7), (0, 8), (1, 2), (2, 3), (2, 4), (5, 6)]",4,5,False,123
122,9,1/3,1,6,"(0,)",2,1,"[(0, 1), (0, 6), (1, 2), (1, 4), (2, 3), (4, 5), (6, 7), (7, 8)]",3,3,False,124
123,9,2/3,2,7,"(1, 6)",3,1,"[(0, 1), (0, 6), (1, 2), (1, 4), (2, 3), (4, 5), (6, 7), (7, 8)]",3,3,False,125
124,9,1/3,1,5,"(0,)",2,1,"[(0, 1), (0, 6), (1, 2), (1, 4), (1, 5), (2, 3), (6, 7), (7, 8)]",4,4,False,126
125,9,2/3,2,8,"(0, 1)",3,1,"[(0, 1), (0, 6), (1, 2), (1, 4), (1, 5), (2, 3), (6, 7), (7, 8)]",4,4,False,127
126,9,1/3,1,5,"(0,)",2,1,"[(0, 1), (0, 5), (1, 2), (1, 4), (2, 3), (5, 6), (5, 8), (6, 7)]",3,4,False,128
127,9,2/3,2,8,"(1, 5)",3,1,"[(0, 1), (0, 5), (1, 2), (1, 4), (2, 3), (5, 6), (5, 8), (6, 7)]",3,4,False,129
128,9,1/3,1,5,"(0,)",2,1,"[(0, 1), (0, 5), (0, 8), (1, 2), (1, 4), (2, 3), (5, 6), (6, 7)]",3,4,False,130
129,9,2/3,2,10,"(0, 1)",3,1,"[(0, 1), (0, 5), (0, 8), (1, 2), (1, 4), (2, 3), (5, 6), (6, 7)]",3,4,False,131
130,9,1/3,1,4,"(0,)",2,1,"[(0, 1), (0, 5), (1, 2), (1, 4), (2, 3), (5, 6), (5, 7), (5, 8)]",4,5,False,132
131,9,2/3,2,8,"(0, 5)",4,2,"[(0, 1), (0, 5), (1, 2), (1, 4), (2, 3), (5, 6), (5, 7), (5, 8)]",4,5,False,133
132,9,1/3,1,4,"(0,)",2,1,"[(0, 1), (0, 5), (0, 8), (1, 2), (1, 4), (2, 3), (5, 6), (5, 7)]",3,5,False,134
133,9,2/3,2,10,"(0, 1)",3,1,"[(0, 1), (0, 5), (0, 8), (1, 2), (1, 4), (2, 3), (5, 6), (5, 7)]",3,5,False,135
134,9,1/3,1,5,"(0,)",2,1,"[(0, 1), (0, 5), (0, 7), (1, 2), (1, 4), (2, 3), (5, 6), (7, 8)]",3,4,False,136
135,9,2/3,2,9,"(0, 1)",3,1,"[(0, 1), (0, 5), (0, 7), (1, 2), (1, 4), (2, 3), (5, 6), (7, 8)]",3,4,False,137
136,9,1/3,1,4,"(0,)",2,1,"[(0, 1), (0, 5), (0, 7), (0, 8), (1, 2), (1, 4), (2, 3), (5, 6)]",4,5,False,138
